,Movie Name,Year of Release,Watch Time,Movie Rating,Metascore of movie,Votes,Gross
258,Relatos salvajes,(2014),122 min,8.1,77        ,"209,717",$3.11M
259,Million Dollar Baby,(2004),132 min,8.1,86        ,"707,970",$100.49M
260,The Iron Giant,(1999),86 min,8.1,85        ,"216,499",$23.16M
261,Network,(1976),121 min,8.1,83        ,"165,921",#222
262,Det sjunde inseglet,(1957),96 min,8.1,88        ,"193,336",#206
263,Amores perros,(2000),154 min,8.1,83        ,"248,560",$5.38M
264,Hachi: A Dog's Tale,(2009),93 min,8.1,****,"301,132",#232
265,Ben-Hur,(1959),212 min,8.1,90        ,"248,109",$74.70M
266,Before Sunset,(2004),80 min,8.1,91        ,"279,575",$5.82M
267,Cool Hand Luke,(1967),127 min,8.1,92        ,"184,759",$16.22M
268,The Third Man,(1949),104 min,8.1,97        ,"177,863",$0.45M
269,In the Name of the Father,(1993),133 min,8.1,84        ,"182,740",$25.01M
270,The Bridge on the River Kwai,(1957),161 min,8.1,87        ,"228,688",$44.91M
271,Rebecca,(1940),130 min,8.1,86        ,"143,122",$4.36M
272,Persona,(1966),85 min,8.1,86        ,"126,815",#247
273,Koe no katachi,(2016),130 min,8.1,78        ,"93,987",%^%^%^
274,On the Waterfront,(1954),108 min,8.1,91        ,"160,863",$9.60M
275,Hotel Rwanda,(2004),121 min,8.1,79        ,"365,910",$23.53M
276,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",(1997),87 min,8.1,****,"60,650",%^%^%^
277,PK,(2014),153 min,8.1,****,"195,980",$10.62M
278,Tôkyô monogatari,(1953),136 min,8.1,100        ,"65,871",#210
279,It Happened One Night,(1934),105 min,8.1,87        ,"109,122",$4.36M
280,Paper Moon,(1973),102 min,8.1,77        ,"50,805",$30.93M
281,Festen,(1998),105 min,8.1,82        ,"91,438",$1.65M
282,Ba wang bie ji,(1992),171 min,8.1,84        ,"31,676",$5.22M
283,The Grapes of Wrath,(1940),129 min,8.1,96        ,"97,725",$0.06M
284,Les quatre cents coups,(1959),99 min,8.1,****,"124,482",#246
285,The Best Years of Our Lives,(1946),170 min,8.1,93        ,"68,438",$23.65M
286,Fanny och Alexander,(1982),188 min,8.1,100        ,"66,102",$4.97M
287,The Red Shoes,(1948),135 min,8.1,****,"37,641",$10.90M
288,Mary and Max.,(2009),92 min,8.1,****,"183,234",#205
289,Bajrangi Bhaijaan,(2015),163 min,8.1,****,"94,023",$8.18M
290,OMG: Oh My God!,(2012),125 min,8.1,****,"62,973",$0.92M
291,All Quiet on the Western Front,(1930),152 min,8.1,91        ,"66,259",$3.27M
292,Smultronstället,(1957),91 min,8.1,88        ,"112,016",#194
293,A Woman Under the Influence,(1974),155 min,8.1,88        ,"27,550",$13.34M
294,Underground,(1995),170 min,8.1,79        ,"60,143",$0.17M
295,Trois couleurs: Rouge,(1994),99 min,8.1,100        ,"107,690",$4.04M
296,Andrei Rublev,(1966),205 min,8.1,****,"55,885",$0.10M
297,The Message,(1976),177 min,8.1,****,"49,702",%^%^%^
298,Yi yi,(2000),173 min,8.1,94        ,"27,104",$1.14M
299,La battaglia di Algeri,(1966),121 min,8.1,96        ,"63,700",$0.06M
300,Inherit the Wind,(1960),128 min,8.1,75        ,"31,970",%^%^%^
301,Munna Bhai M.B.B.S.,(2003),156 min,8.1,****,"85,932",%^%^%^
302,The General,(1926),78 min,8.1,****,"95,675",$1.03M
303,Lagaan: Once Upon a Time in India,(2001),224 min,8.1,84        ,"118,290",$0.91M
304,Kakushi-toride no san-akunin,(1958),139 min,8.1,89        ,"41,127",%^%^%^
305,La passion de Jeanne d'Arc,(1928),110 min,8.1,98        ,"58,629",$0.02M
306,Les diaboliques,(1955),117 min,8.1,****,"68,090",$1.09M
307,Kis Uykusu,(2014),196 min,8.1,88        ,"53,990",$0.17M
308,Mr. Smith Goes to Washington,(1939),129 min,8.1,73        ,"119,129",$9.60M
309,Le notti di Cabiria,(1957),110 min,8.1,****,"51,031",$0.75M
310,Barfi!,(2012),151 min,8.1,****,"84,982",$2.80M
311,Höstsonaten,(1978),99 min,8.1,****,"36,650",%^%^%^
312,Jungfrukällan,(1960),89 min,8.1,****,"30,860",$1.53M
313,Dom za vesanje,(1988),142 min,8.1,****,"32,060",$0.28M
314,Kumonosu-jô,(1957),110 min,8.1,****,"54,584",%^%^%^
315,A Wednesday,(2008),104 min,8.1,****,"80,935",%^%^%^
316,Dil Chahta Hai,(2001),183 min,8.1,****,"74,567",$0.30M
317,Masaan,(2015),109 min,8.1,****,"29,896",%^%^%^
318,The Gold Rush,(1925),95 min,8.1,****,"115,835",$5.45M
319,Sunrise: A Song of Two Humans,(1927),94 min,8.1,95        ,"52,906",$0.54M
320,Article 15,(2019),130 min,8.1,****,"35,773",%^%^%^
321,Da hong denglong gaogao gua,(1991),125 min,8.1,****,"34,453",$2.60M
322,Rang De Basanti,(2006),167 min,8.1,****,"121,263",$2.20M
323,Ace in the Hole,(1951),111 min,8.1,72        ,"38,187",$3.97M
324,Talvar,(2015),132 min,8.1,****,"37,051",$0.34M
325,White Heat,(1949),114 min,8.1,89        ,"34,837",%^%^%^
326,Jean de Florette,(1986),120 min,8.1,****,"26,964",$4.94M
327,Du rififi chez les hommes,(1955),118 min,8.1,97        ,"36,069",$0.06M
328,Chak De! India,(2007),153 min,8.1,68        ,"83,267",$1.11M
329,La Grande Illusion,(1937),113 min,8.1,****,"38,112",$0.17M
330,Ôkami kodomo no Ame to Yuki,(2012),117 min,8.1,71        ,"47,799",%^%^%^
331,Mandariinid,(2013),87 min,8.1,73        ,"48,022",$0.14M
332,Sholay,(1975),204 min,8.1,****,"57,755",%^%^%^
333,Viridiana,(1961),91 min,8.1,****,"25,561",%^%^%^
334,Kahaani,(2012),122 min,8.1,****,"64,611",$1.04M
335,Queen,(2013),146 min,8.1,****,"67,543",$1.43M
336,Eskiya,(1996),128 min,8.1,****,"71,341",%^%^%^
337,Hera Pheri,(2000),156 min,8.1,****,"70,665",%^%^%^
338,Udaan,(2010),134 min,8.1,****,"46,314",$0.01M
339,The Circus,(1928),72 min,8.1,90        ,"35,292",%^%^%^
340,Pink,(III) (2016),136 min,8.1,****,"47,058",$1.24M
341,Black,(2005),122 min,8.1,****,"35,647",$0.73M
